currency,time_period,obs_value,obs_status
AUD,2020-12,1.6166454545455,A
AUD,2021-12,1.5781043478261,A
AUD,2022-12,1.568519047619,A
AUD,2023-12,1.6321105263158,A
AUD,2024-12,1.652865,A
AUD,2025-12,1.7633619047619047,A
CAD,2020-12,1.5595454545455,A
CAD,2021-12,1.4462565217391,A
CAD,2022-12,1.4378619047619,A
CAD,2023-12,1.4653421052632,A
CAD,2024-12,1.491505,A
CAD,2025-12,1.6168333333333336,A
CHF,2020-12,1.0813909090909,A
CHF,2021-12,1.0408130434783,A
CHF,2022-12,0.9864904761905,A
CHF,2023-12,0.9441315789474,A
CHF,2024-12,0.933925,A
CHF,2025-12,0.9331619047619047,A
DKK,2020-12,7.4412136363636,A
DKK,2021-12,7.4362434782609,A
DKK,2022-12,7.4376571428571,A
DKK,2023-12,7.4556368421053,A
DKK,2024-12,7.45892,A
DKK,2025-12,7.469633333333333,A
GBP,2020-12,0.9062440909091,A
GBP,2021-12,0.8487482608696,A
GBP,2022-12,0.8695,A
GBP,2023-12,0.8616826315789,A
GBP,2024-12,0.828042,A
GBP,2025-12,0.875,A
JPY,2020-12,126.2781818181818,A
JPY,2021-12,128.7995652173913,A
JPY,2022-12,142.8223809523809,A
JPY,2023-12,157.2126315789474,A
JPY,2024-12,161.0835,A
JPY,2025-12,182.49714285714285,A
NOK,2020-12,10.6007636363636,A
NOK,2021-12,10.1308304347826,A
NOK,2022-12,10.4480380952381,A
NOK,2023-12,11.5332631578947,A
NOK,2024-12,11.744705,A
NOK,2025-12,11.842847619047618,A
SEK,2020-12,10.1735954545455,A
SEK,2021-12,10.2726347826087,A
SEK,2022-12,10.9859095238095,A
SEK,2023-12,11.2028421052632,A
SEK,2024-12,11.50403,A
SEK,2025-12,10.89557142857143,A
USD,2020-12,1.2169727272727,A
USD,2021-12,1.1303782608696,A
USD,2022-12,1.058880952381,A
USD,2023-12,1.0903052631579,A
USD,2024-12,1.047875,A
USD,2025-12,1.1708714285714283,A
