year,iso,pop,rgdpmad,xrusd,eq_tr,eq_capgain,eq_div_rtn
1924,AUS,5819,5417.4256745145212,0.44232046227806776,0.13699999451637268,7.5999997556209564E-2,6.1000004410743713E-2
1925,AUS,5943,5553.0876661618713,0.41447141948415456,0.17700000107288361,0.11399999260902405,6.3000001013278961E-2
1926,AUS,6064,5572.5593667546182,0.41257451845657517,0.14100000262260437,8.1999994814395905E-2,5.9000000357627869E-2
1927,AUS,6188,5543.7944408532639,0.41433834413409815,0.12399999797344208,6.4999997615814209E-2,5.9000000357627869E-2
1928,AUS,6304,5451.7766497461926,0.41514142634180001,0.17700000107288361,0.11500000208616257,6.1999998986721039E-2
1929,AUS,6396,5262.9768605378358,0.43658322216614742,-5.3000003099441528E-2,-0.10100000351667404,4.8000000417232513E-2
1930,AUS,6469,4708.3011284588029,0.53071281948289473,-0.29600000381469727,-0.33900001645088196,4.2999997735023499E-2
1931,AUS,6527,4353.60808947449,0.55234498893570128,0.17700000107288361,0.11300000548362732,6.4000003039836884E-2
1932,AUS,6579,4563.7634898920805,0.71698640747206532,0.24799999594688416,0.19900000095367432,4.8999994993209839E-2
1933,AUS,6631,4842.4068767908302,0.59331638302789347,0.25600001215934753,0.21100001037120819,4.5000001788139343E-2
1934,AUS,6682,5059.8623166716552,0.50029058252832348,0.23200000822544098,0.19099999964237213,4.1000001132488251E-2
1935,AUS,6732,5317.587641117053,0.51225785667163481,0.10100000351667404,6.1999998986721039E-2,3.9000000804662704E-2
1936,AUS,6783,5515.8484446410139,0.50494682263625701,0.19799999892711639,0.15399999916553497,4.3999999761581421E-2
1937,AUS,6841,5745.6512205817862,0.50773244011417729,2.4000000208616257E-2,-1.7000000923871994E-2,4.1000001132488251E-2
1938,AUS,6904,5886.3267670915411,0.5134151834605164,-4.999999888241291E-3,-5.0999999046325684E-2,4.6000000089406967E-2
1939,AUS,6971,5845.5613254913223,0.56596298602071426,5.3000003099441528E-2,2.0000000949949026E-3,5.1000002771615982E-2
1940,AUS,7042,6166.1391650099413,0.65539389172892903,3.5000000149011612E-2,-1.7000000923871994E-2,5.1999997347593307E-2
1941,AUS,7111,6788.2300660947813,0.62250996015936255,-5.4999999701976776E-2,-0.10100000351667404,4.6000000089406967E-2
1942,AUS,7173,7505.4521120869931,0.62208398133748055,0.18400000035762787,0.12399999797344208,6.0000002384185791E-2
1943,AUS,7236,7702.8325041459375,0.6198090987975704,8.8999994099140167E-2,4.5000001788139343E-2,4.4000003486871719E-2
1944,AUS,7309,7362.0270898891786,0.61957868649318459,7.9999998211860657E-2,3.5999998450279236E-2,4.3999996036291122E-2
1945,AUS,7389,6916.8980917580184,0.6211180124223602,0.14100000262260437,9.6000000834465027E-2,4.5000005513429642E-2
1946,AUS,7474,6594.9328338239229,0.62239372627123923,0.13300000131130219,9.2000000178813934E-2,4.1000001132488251E-2
1947,AUS,7578,6664.3990498812354,0.62305295950155759,0.16600000858306885,0.12700000405311584,3.9000000804662704E-2
1948,AUS,7715,6967.4597537265081,0.62034730452604414,2.4000000208616257E-2,-1.0999999940395355E-2,3.5000000149011612E-2
1949,AUS,7919,7236.7925243086256,0.89285699989285705,8.1000000238418579E-2,3.9999999105930328E-2,4.1000001132488251E-2
1950,AUS,8267.3369999999995,7411.576424185927,0.89285699989285705,0.31400001049041748,0.26700001955032349,4.700000211596489E-2
1951,AUS,8510.6,7507.343783047023,0.89928057594175104,-4.6000000089406967E-2,-8.3000004291534424E-2,3.699999675154686E-2
1952,AUS,8691.2119999999995,7417.8376962844768,0.89206066092172853,-0.13300000131130219,-0.17499999701976776,4.1999999433755875E-2
1953,AUS,8857.9240000000009,7505.2574395535557,0.89206066092172853,0.12999999523162842,7.6999999582767487E-2,5.3000003099441528E-2
1954,AUS,9064.0169999999998,7790.5855648770294,0.89928057594175104,0.18600000441074371,0.13099999725818634,5.5000003427267075E-2
1955,AUS,9277.0869999999995,8027.4120529429119,0.89405453812628921,0.10300000011920929,4.6999998390674591E-2,5.6000001728534698E-2
1956,AUS,9500.6059999999998,8108.324879486634,0.89928057594175104,7.6999999582767487E-2,1.7000000923871994E-2,5.9999998658895493E-2
1957,AUS,9712.5689999999995,8090.2385352423244,0.89245872458139808,0.16700001060962677,0.10499999672174454,6.1999998986721039E-2
1958,AUS,9915.2669999999998,8305.474779448703,0.89405453812628921,0.18899999558925629,0.1289999932050705,6.0000006109476089E-2
1959,AUS,10131.73,8628.4384432311617,0.89485458652995731,0.44299998879432678,0.38099998235702515,6.1999998986721039E-2
1960,AUS,10361.27,8790.9082214125629,0.89365504995000422,-6.1999998986721039E-2,-9.8999999463558197E-2,3.7000000476837158E-2
1961,AUS,10598.81,8653.1379831743434,0.89245872458139808,0.11600000411272049,6.5999999642372131E-2,5.000000074505806E-2
1962,AUS,10794.97,9026.7984120008514,0.89405453812628921,4.1999999433755875E-2,-1.0000000474974513E-3,4.2999997735023499E-2
1963,AUS,11001.48,9399.9145387944518,0.89605734847245155,0.26600000262260437,0.21600000560283661,5.000000074505806E-2
1964,AUS,11218.3,9848.9040767659699,0.89766606902698409,4.3999999761581421E-2,4.999999888241291E-3,3.8999997079372406E-2
1965,AUS,11439.38,10151.857827309583,0.89405453812628921,-8.1999994814395905E-2,-0.1210000067949295,3.9000000804662704E-2
1966,AUS,11655.08,10241.282709012024,0.89766606822262107,6.7000001668930054E-2,2.0999999716877937E-2,4.6000000089406967E-2
1967,AUS,11872.26,10732.746509006201,0.89206066092066083,0.42500001192092896,0.36900001764297485,5.59999980032444E-2
1968,AUS,12101.66,11148.305273821938,0.9009009009009008,0.34799998998641968,0.30700001120567322,4.1000001132488251E-2
1969,AUS,12379.38,11560.995280540616,0.89445438362652452,0.10100000351667404,6.8999998271465302E-2,3.2000001519918442E-2
1970,AUS,12660.16,12023.544726133005,0.89686098735144493,-0.13699999451637268,-0.16700001060962677,2.9999997466802597E-2
1971,AUS,12937.2,12289.521689391831,0.83963056325745644,-6.1000000685453415E-2,-9.8000004887580872E-2,3.7000004202127457E-2
1972,AUS,13177,12404.416786825528,0.78431372610534411,0.36400002241134644,0.31799998879432678,4.6000000089406967E-2
1973,AUS,13380.4,12878.090341095933,0.67204301120433008,-0.25799998641014099,-0.28700000047683716,2.8999999165534973E-2
1974,AUS,13599.1,12985.124015559853,0.75357950320541023,-0.26199999451637268,-0.30899998545646667,4.6999998390674591E-2
1975,AUS,13771.4,13169.830227863544,0.79548166478043247,0.54600000381469727,0.45400002598762512,9.2000000178813934E-2
1976,AUS,13915.5,13558.837267794905,0.92047128129602351,3.5999998450279236E-2,-1.9999999552965164E-2,5.6000001728534698E-2
1977,AUS,14074.1,13546.37241457713,0.87611705000535922,0.13199999928474426,6.5999999642372131E-2,6.5999999642372131E-2
1978,AUS,14248.6,13768.650955181562,0.8691873106207626,0.24299998581409454,0.17599999904632568,6.7000001668930054E-2
1979,AUS,14421.9,14319.541807944863,0.90456806956541658,0.38999998569488525,0.31999999284744263,7.0000000298023224E-2
1980,AUS,14615.9,14411.839161461148,0.84695519678746101,0.52300000190734863,0.45800000429153442,6.4999997615814209E-2
1981,AUS,14923.26,14660.335610315709,0.88660342307527562,-0.1080000028014183,-0.14399999380111694,3.5999998450279236E-2
1982,AUS,15162,14411.819021237303,1.0197838068731224,-0.15299999713897705,-0.19700001180171967,4.3999999761581421E-2
1983,AUS,15348,14238.923638259055,1.1086474501108647,0.63700002431869507,0.56599998474121094,7.0999994874000549E-2
1984,AUS,15510,15062.411347517731,1.2080212611741967,4.999999888241291E-3,-3.7000000476837158E-2,4.1999999433755875E-2
1985,AUS,15695,15638.35616438356,1.4686444411807902,0.42099997401237488,0.36400002241134644,5.7000007480382919E-2
1986,AUS,15900,15757.169811320753,1.5042117930204575,0.51099997758865356,0.4570000171661377,5.4000001400709152E-2
1987,AUS,16137,16293.301109252032,1.3840830449826989,-9.6000000834465027E-2,-0.1210000067949295,2.500000037252903E-2
1988,AUS,16400,16752.256097560978,1.168907071887785,0.21100001037120819,0.16099999845027924,4.9999997019767761E-2
1989,AUS,16681,17194.412804987711,1.2615112905260504,0.17899999022483826,0.11300000548362732,6.5999992191791534E-2
1990,AUS,16956,17172.682236376502,1.29315918789603,-0.15299999713897705,-0.20100000500679016,4.8000000417232513E-2
1991,AUS,17202,16743.323985517862,1.3161358252171624,0.27500000596046448,0.22200000286102295,5.299999937415123E-2
1992,AUS,17419,16988.874013415483,1.4522218995062446,-2.199999988079071E-2,-5.9999998658895493E-2,3.7999995052814484E-2
1993,AUS,17608,17478.185210321713,1.476886722788362,0.40456143021583557,0.35504370927810669,4.9517706036567688E-2
1994,AUS,17781,18145.568488327885,1.2873326799004294,-8.8101856410503387E-2,-0.12148795276880264,3.3386096358299255E-2
1995,AUS,17976,18529.558206836238,1.3422818791946309,0.20723018050193787,0.15689592063426971,5.0334271043539047E-2
