iso,time_period,obs_value,obs_status,base_period
AUS,2020-12,121.2146,A,2015
AUS,2021-12,133.9538,A,2015
AUS,2022-12,130.5719,A,2015
AUS,2023-12,133.9923,A,2015
AUS,2024-12,151.2217,A,2015
AUS,2025-12,157.5627,A,2015
BEL,2020-12,83.30549,A,2015
BEL,2021-12,97.14455,A,2015
BEL,2022-12,96.27178,A,2015
BEL,2023-12,101.8935,A,2015
BEL,2024-12,104.895,A,2015
BEL,2025-12,123.855,A,2015
CHE,2020-12,121.9143,A,2015
CHE,2021-12,147.2311,A,2015
CHE,2022-12,124.1206,A,2015
CHE,2023-12,125.1536,A,2015
CHE,2024-12,130.0368,A,2015
CHE,2025-12,145.776,A,2015
DEU,2020-12,110.64,A,2015
DEU,2021-12,124.2719,A,2015
DEU,2022-12,103.0385,A,2015
DEU,2023-12,116.1075,A,2015
DEU,2024-12,133.0495,A,2015
DEU,2025-12,154.2791,A,2015
DNK,2020-12,159.0769,A,2015
DNK,2021-12,195.5729,A,2015
DNK,2022-12,187.4201,A,2015
DNK,2023-12,214.8012,A,2015
DNK,2024-12,226.1653,A,2015
DNK,2025-12,173.4395,A,2015
ESP,2020-12,74.97704,A,2015
ESP,2021-12,77.26388,A,2015
ESP,2022-12,76.24863,A,2015
ESP,2023-12,92.69518,A,2015
ESP,2024-12,105.959,A,2015
ESP,2025-12,154.7221,A,2015
FIN,2020-12,126.7762,A,2015
FIN,2021-12,148.6197,A,2015
FIN,2022-12,129.4496,A,2015
FIN,2023-12,117.303,A,2015
FIN,2024-12,112.2157,A,2015
FIN,2025-12,141.7079,A,2015
FRA,2020-12,115.7445,A,2015
FRA,2021-12,143.102,A,2015
FRA,2022-12,133.3017,A,2015
FRA,2023-12,150.0132,A,2015
FRA,2024-12,146.197,A,2015
FRA,2025-12,161.3472,A,2015
GBR,2020-12,98.82664,A,2015
GBR,2021-12,110.5146,A,2015
GBR,2022-12,113.3291,A,2015
GBR,2023-12,115.4689,A,2015
GBR,2024-12,124.7651,A,2015
GBR,2025-12,148.2202,A,2015
ITA,2020-12,106.2241,A,2015
ITA,2021-12,134.3038,A,2015
ITA,2022-12,119.5285,A,2015
ITA,2023-12,144.4868,A,2015
ITA,2024-12,158.9811,A,2015
ITA,2025-12,199.3578,A,2015
JPN,2020-12,114.8566,A,2015
JPN,2021-12,127.4835,A,2015
JPN,2022-12,124.7155,A,2015
JPN,2023-12,151.3699,A,2015
JPN,2024-12,176.8363,A,2015
JPN,2025-12,218.4621,A,2015
NLD,2020-12,125.7677,A,2015
NLD,2021-12,152.497,A,2015
NLD,2022-12,136.3495,A,2015
NLD,2023-12,149.159,A,2015
NLD,2024-12,162.891,A,2015
NLD,2025-12,178.144,A,2015
NOR,2020-12,153.6528,A,2015
NOR,2021-12,195.389,A,2015
NOR,2022-12,207.1697,A,2015
NOR,2023-12,227.6645,A,2015
NOR,2024-12,248.4233,A,2015
NOR,2025-12,285.7881,A,2015
PRT,2020-12,144.4066,A,2015
PRT,2021-12,165.1471,A,2015
PRT,2022-12,178.173,A,2015
PRT,2023-12,187.6651,A,2015
PRT,2024-12,166.1126,A,2015
PRT,2025-12,211.4118,A,2015
SWE,2020-12,147.1665,A,2015
SWE,2021-12,194.6928,A,2015
SWE,2022-12,153.9939,A,2015
SWE,2023-12,170.5992,A,2015
SWE,2024-12,188.616,A,2015
SWE,2025-12,199.468,A,2015
USA,2020-12,134.5941,A,2015
USA,2021-12,157.3382,A,2015
USA,2022-12,143.193,A,2015
USA,2023-12,154.8774,A,2015
USA,2024-12,183.487,A,2015
USA,2025-12,205.5674,A,2015
