DATAFLOW;BBK_STD_FREQ;BBK_STD_CURRENCY;BBK_ERX_PARTNER_CURRENCY;BBK_ERX_SERIES_TYPE;BBK_ERX_RATE_TYPE;BBK_ERX_SUFFIX;TIME_PERIOD;OBS_VALUE;TIME_FORMAT;BBK_DECIMALS;BBK_ID;BBK_UNIT;BBK_UNIT_MULT;BBK_TITLE;WEB_CATEGORY;BBK_COMM_GEN;BBK_COMM_METH;BBK_COMM_SRC;BBK_COMM_OBS;BBK_DIFF_Y
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1968;5106.33;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;Durchschnitt vom 18. Juni bis 31. Dezember 1968.;
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1969;5048.00;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;-1.1
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1970;4232.37;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;-16.2
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1971;4576.02;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;8.1
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1972;5980.68;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;30.7
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1973;8291.07;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;38.6
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1974;13237.14;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;59.7
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1975;12747.53;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;-3.7
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1976;10147.58;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;-20.4
BBK:BBEX3(1.0);A;XAU;DEM;EA;AC;C03;1977;11070.54;P1Y;2;BBEX3.A.XAU.DEM.EA.AC.C03;DEM;0;Goldpreis in Frankfurt am Main / Fixing der Frankfurter Wertpapierbörse / 1 kg Feingold = ... DM / bis 1998;WEDE;Für Kilogramm-Goldbarren mit einem Feingehalt von 999,9/1000. Erstmalige Notierung am 18. Juni 1968.;Die Durchschnitte wurden aus täglichen Notierungen errechnet.;Frankfurter Wertpapierbörse;;9.1
