DATAFLOW;BBK_STD_FREQ;BBK_STD_CURRENCY;BBK_ERX_PARTNER_CURRENCY;BBK_ERX_SERIES_TYPE;BBK_ERX_RATE_TYPE;BBK_ERX_SUFFIX;TIME_PERIOD;OBS_VALUE;TIME_FORMAT;BBK_DECIMALS;BBK_ID;BBK_UNIT;BBK_UNIT_MULT;BBK_TITLE;WEB_CATEGORY;BBK_COMM_GEN;BBK_COMM_METH;BBK_COMM_SRC;BBK_DIFF_Y
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;1999;1.0658;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2000;0.9236;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-13.3
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2001;0.8956;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;-3.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2002;0.9456;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;5.6
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2003;1.1312;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;19.6
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2004;1.2439;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;10.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2005;1.2441;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;0.0
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2006;1.2556;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;0.9
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2007;1.3705;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;9.2
BBK:BBEX3(1.0);A;USD;EUR;BB;AC;A04;2008;1.4708;P1Y;4;BBEX3.A.USD.EUR.BB.AC.A04;USD;0;Euro-Referenzkurs der EZB / 1 EUR = ... USD / Vereinigte Staaten;WEDE;Die EZB veröffentlicht tägliche Referenzkurse, die auf Grundlage der Konzertation zwischen Zentralbanken um 14.15 Uhr ermittelt werden.;Eigene Berechnungen der Durchschnitte auf Basis der täglichen Euro-Referenzkurse der EZB.;Europäische Zentralbank (EZB).;7.3
