Jahr	Entn.	Floor	Rente1	Rente2	RenteSum	FloorDep	Flex%	Flex€	Entn_real	Adj%	Markt	Status	Quote%	Runway%	Pf.Akt%	Pf.Gld%	Infl.	Handl.A	Handl.G	St.	Aktien	Gold	Liq.	Liq@rC-	Zins€	Liq@rC+	ZielLiq	NeedLiq	GuardG	GuardA	GuardNote	Akt_vorR	Akt_nachR	Akt_nachV	Akt_nachK	Gld_vorR	Gld_nachR	Gld_nachV	Gld_nachK
2000	78k €	44k €	12k €	0 €	12k €	32k €	96%	46k €	78k €	2.5%	Seitwärts La	Surplus Rebalan	0.0%	257%	-14.1%	-0.6%	0.6%	0 €	-200k €	0 €	1852k €	200k €	273k €	545k €	7k €	273k €	212k €	96k €	0 €	0 €		2156k €	1852k €	1852k €	1852k €	0 €	0 €	0 €	200k €
2001	72k €	44k €	12k €	0 €	12k €	32k €	83%	40k €	72k €	1.9%	Tiefer Bär	BÄR (Kein Handl	4.6%	215%	-18.0%	-2.7%	1.4%	0 €	0 €	0 €	1519k €	195k €	210k €	273k €	9k €	210k €	127k €	96k €	0 €	0 €		1852k €	1519k €	1519k €	1519k €	200k €	195k €	195k €	195k €
2002	66k €	45k €	13k €	0 €	13k €	32k €	69%	34k €	66k €	2.1%	Tiefer Bär	BÄR (Kein Handl	5.9%	184%	-31.5%	4.3%	2.1%	0 €	0 €	0 €	1041k €	203k €	149k €	210k €	5k €	149k €	114k €	97k €	0 €	0 €		1519k €	1041k €	1041k €	1041k €	195k €	203k €	203k €	203k €
2003	59k €	46k €	13k €	8k €	21k €	25k €	68%	34k €	59k €	1.2%	Tiefer Bär	BÄR (Kein Handl	4.2%	150%	10.4%	19.4%	1.3%	0 €	0 €	0 €	1150k €	242k €	93k €	149k €	2k €	93k €	100k €	74k €	0 €	0 €		1041k €	1150k €	1150k €	1150k €	203k €	242k €	242k €	242k €
2004	59k €	46k €	13k €	8k €	21k €	25k €	67%	34k €	59k €	1.1%	Tiefer Bär	Runway-Notfüllu	3.9%	152%	10.7%	11.7%	1.0%	0 €	60k €	0 €	1273k €	211k €	96k €	93k €	2k €	96k €	101k €	75k €	0 €	0 €		1150k €	1273k €	1273k €	1273k €	242k €	271k €	211k €	211k €
2005	60k €	47k €	13k €	9k €	22k €	25k €	68%	35k €	60k €	0.8%	Erholung im	Runway-Notfüllu	3.2%	128%	28.0%	2.2%	1.7%	0 €	60k €	0 €	1629k €	155k €	98k €	96k €	2k €	98k €	122k €	76k €	0 €	0 €		1273k €	1629k €	1629k €	1629k €	211k €	215k €	155k €	155k €
2006	75k €	48k €	13k €	9k €	22k €	26k €	94%	49k €	75k €	1.6%	Best. Erholu	Runway-Notfüllu	3.0%	115%	14.0%	22.3%	1.5%	60k €	2k €	2k €	1796k €	188k €	85k €	98k €	2k €	85k €	138k €	78k €	0 €	0 €		1629k €	1856k €	1796k €	1796k €	155k €	190k €	188k €	188k €
2007	75k €	48k €	13k €	9k €	22k €	26k €	92%	49k €	75k €	2.8%	Seitwärts La	Opportunistisch	3.7%	101%	2.1%	17.3%	1.8%	130k €	0 €	0 €	1704k €	220k €	144k €	85k €	4k €	144k €	213k €	79k €	0 €	0 €		1796k €	1834k €	1704k €	1704k €	188k €	220k €	220k €	220k €
2008	69k €	49k €	14k €	9k €	23k €	27k €	79%	42k €	69k €	3.4%	Tiefer Bär	Runway-Notfüllu	6.6%	153%	-45.1%	2.1%	2.3%	0 €	20k €	0 €	936k €	205k €	99k €	144k €	4k €	99k €	107k €	80k €	0 €	0 €		1704k €	936k €	936k €	936k €	220k €	225k €	205k €	205k €
2009	66k €	50k €	14k €	9k €	24k €	27k €	71%	39k €	66k €	0.8%	Erholung im	Runway-Notfüllu	4.9%	139%	31.7%	2.7%	2.8%	0 €	60k €	0 €	1233k €	151k €	96k €	99k €	3k €	96k €	114k €	81k €	0 €	0 €		936k €	1233k €	1233k €	1233k €	205k €	211k €	151k €	151k €
2010	69k €	52k €	14k €	9k €	24k €	28k €	72%	41k €	69k €	2.3%	Erholung im	Runway-Notfüllu	4.4%	136%	12.9%	17.2%	0.2%	0 €	80k €	0 €	1391k €	97k €	108k €	96k €	1k €	108k €	129k €	84k €	0 €	0 €		1233k €	1391k €	1391k €	1391k €	151k €	177k €	97k €	97k €
2011	69k €	52k €	15k €	10k €	24k €	28k €	73%	41k €	69k €	3.9%	Erholung im	Runway-Notfüllu	4.9%	139%	-7.8%	34.9%	1.1%	0 €	60k €	0 €	1283k €	70k €	100k €	108k €	986 €	100k €	121k €	83k €	0 €	0 €		1391k €	1283k €	1283k €	1283k €	97k €	130k €	70k €	70k €
